value,name,hemisphere,source
1158,R_Area_V3CD,R,glasser_mmp
1159,R_Area_Lateral_Occipital_3,R,glasser_mmp
1160,R_VentroMedial_Visual_Area_2,R,glasser_mmp
1161,R_Area_31pd,R,glasser_mmp
1162,R_Area_31a,R,glasser_mmp
1163,R_Ventral_Visual_Complex,R,glasser_mmp
1164,R_Area_25,R,glasser_mmp
1165,R_Area_s32,R,glasser_mmp
1166,R_posterior_OFC_Complex,R,glasser_mmp
1167,R_Area_Posterior_Insular_1,R,glasser_mmp
1168,R_Insular_Granular_Complex,R,glasser_mmp
1169,R_Area_Frontal_Opercular,R,glasser_mmp
1170,R_Area_posterior_10p,R,glasser_mmp
1171,R_Area_posterior_47r,R,glasser_mmp
1172,R_Area_TG_Ventral,R,glasser_mmp
1173,R_Medial_Belt_Complex,R,glasser_mmp
1174,R_Lateral_Belt_Complex,R,glasser_mmp
1175,R_Auditory_4_Complex,R,glasser_mmp
1176,R_Area_STSv_anterior,R,glasser_mmp
1177,R_Area_TE1_Middle,R,glasser_mmp
1178,R_Para-Insular_Area,R,glasser_mmp
1179,R_Area_anterior_32_prime,R,glasser_mmp
1180,R_Area_posterior_24,R,glasser_mmp
1181,R_Thalamus,R,harvard_oxford_subcortical
1182,R_Caudate,R,harvard_oxford_subcortical
1183,R_Putamen,R,harvard_oxford_subcortical
1184,R_Pallidum,R,harvard_oxford_subcortical
1185,R_Hippocampus,R,harvard_oxford_subcortical
1186,R_Amygdala,R,harvard_oxford_subcortical
